City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,calama,-22.4667,-68.9333,10.27,12,0,3.09,CL,1683854215
210,okeho,8.0333,3.35,23.65,91,94,1.56,NG,1683854215
211,eirunepe,-6.6603,-69.8736,22.79,97,100,0.94,BR,1683854215
212,puerto carreno,6.189,-67.4859,27.02,72,98,2.2,CO,1683854215
213,gatton,-27.55,152.2833,22.52,46,4,4.06,AU,1683854215
214,enewetak,11.3474,162.3373,27.78,82,70,6.9,MH,1683854215
215,guerrero negro,27.9769,-114.0611,16.24,70,38,10.8,MX,1683854216
216,kapuskasing,49.4169,-82.4331,17.05,72,40,3.09,CA,1683854216
217,lebu,-37.6167,-73.65,12.49,95,100,1.88,CL,1683854216
218,kolonia,50.9333,6.95,13.87,92,75,2.06,DE,1683854144
219,conception bay south,47.4999,-52.9981,4.47,60,34,4.23,CA,1683854106
220,worland,44.0169,-107.9554,14.82,65,100,7.72,US,1683854135
221,porto velho,-8.7619,-63.9039,25.03,94,0,0.0,BR,1683854216
222,ilulissat,69.2167,-51.1,-2.99,86,100,7.2,GL,1683854216
223,kirensk,57.7853,108.1119,7.01,48,100,3.45,RU,1683854217
224,starobaltachevo,56.0013,55.9213,6.45,80,81,3.32,RU,1683854217
225,baiti,13.745,-14.7482,30.37,26,21,4.4,SN,1683854217
226,almyros,39.1822,22.7594,11.7,94,75,0.0,GR,1683854217
227,chadron,42.8294,-102.9999,14.82,91,100,4.63,US,1683854217
228,alice springs,-23.7,133.8833,17.75,32,0,4.63,AU,1683854217
229,mogocha,53.7333,119.7667,1.89,86,100,4.39,RU,1683854218
230,masina,-4.3836,15.3914,23.74,88,90,0.3,CD,1683854218
231,jose de freitas,-4.7564,-42.5756,26.53,90,48,1.69,BR,1683854218
232,kapa'a,22.0752,-159.319,27.18,69,20,5.14,US,1683854218
233,plouzane,48.3833,-4.6167,11.18,93,75,3.09,FR,1683854218
234,rutana,-3.8667,30.1,13.82,93,100,1.13,BI,1683854218
235,papatowai,-46.5619,169.4708,11.33,90,100,4.21,NZ,1683854218
236,tukrah,32.5341,20.5791,17.25,86,0,3.54,LY,1683854218
237,sao gabriel da cachoeira,-0.1303,-67.0892,23.0,96,58,0.49,BR,1683854219
238,namtsy,62.7161,129.6658,2.2,35,100,4.05,RU,1683854219
239,mykhaylivka,47.2724,35.2224,6.95,81,0,2.56,UA,1683854219
240,putina,-15.4667,-69.4333,5.37,83,100,3.42,PE,1683854219
241,pauini,-7.7136,-66.9764,22.63,98,99,0.6,BR,1683854219
242,egilsstadir,65.2653,-14.3948,7.95,76,0,7.72,IS,1683854220
243,cockburn town,21.4612,-71.1419,26.86,79,5,6.24,TC,1683854220
244,labasa,-16.4167,179.3833,29.15,68,25,3.87,FJ,1683854220
245,hammerfest,70.6634,23.6821,6.25,100,75,7.72,NO,1683854220
246,'alaqahdari dishu,30.4374,63.313,27.19,18,4,1.33,AF,1683854220
247,port blair,11.6667,92.75,28.65,78,100,10.64,IN,1683854220
248,sisimiut,66.9395,-53.6735,-2.58,87,100,6.23,GL,1683854220
249,nguigmi,14.2495,13.1092,29.17,20,100,3.38,NE,1683854221
250,ishigaki,24.3448,124.1572,26.07,61,20,4.12,JP,1683854221
251,illela,13.7292,5.2975,31.05,44,100,6.16,NG,1683854221
252,portland,45.5234,-122.6762,26.37,37,20,3.09,US,1683854040
253,udachny,66.4167,112.4,3.03,59,100,6.64,RU,1683854221
254,essaouira,31.5125,-9.77,17.72,80,1,4.63,MA,1683854221
255,linkou,45.3,130.2833,19.19,31,100,3.47,CN,1683854222
256,kuanda,56.3161,116.0806,3.59,57,37,2.46,RU,1683854222
257,ta`u,-14.2336,-169.5144,27.92,74,5,3.49,AS,1683854222
258,sabang,5.8933,95.3214,28.7,74,98,1.94,ID,1683854223
259,paracuru,-3.41,-39.0306,25.39,82,78,2.26,BR,1683854223
260,carnarvon,-24.8667,113.6333,23.14,48,0,1.06,AU,1683854223
261,freetown,8.484,-13.2299,26.86,87,24,2.85,SL,1683854223
262,agat village,13.3886,144.6585,31.06,76,40,4.63,GU,1683854229
263,beau vallon,-20.4189,57.6953,24.13,83,40,5.66,MU,1683854229
264,kiunga,-6.1219,141.2906,27.98,82,90,1.04,PG,1683854229
265,linxia chengguanzhen,35.6003,103.2064,12.92,34,100,0.99,CN,1683854229
266,churapcha,62.0025,132.4325,2.18,41,100,3.3,RU,1683854230
267,aurad,18.25,77.4333,29.83,38,73,4.57,IN,1683854230
268,birao,10.2849,22.7882,28.57,55,99,1.96,CF,1683854230
269,vinton,37.281,-79.897,23.36,64,20,2.57,US,1683854231
270,daru,-9.0763,143.2092,26.27,91,100,5.0,PG,1683854231
271,kerikeri,-35.2268,173.9474,17.17,68,23,0.89,NZ,1683854231
272,geneseo,42.7959,-77.8169,19.47,63,8,2.6,US,1683854231
273,escanaba,45.7453,-87.0646,16.98,51,0,2.57,US,1683854232
274,ilha de mocambique,-15.0342,40.7358,25.58,75,99,1.58,MZ,1683854232
275,jawf al maqbabah,13.8378,45.8349,23.98,62,100,1.52,YE,1683854232
276,san pedro pochutla,15.7333,-96.4667,29.84,66,96,4.27,MX,1683854233
277,bamboo flat,11.7,92.7167,28.66,78,100,10.65,IN,1683854233
278,roma,43.2128,-75.4557,16.51,66,0,1.54,US,1683854055
279,mawu,29.5923,107.3139,15.97,92,100,1.11,CN,1683854233
280,vorgashor,67.5833,63.95,-11.79,94,35,2.35,RU,1683854234
281,nenjiang,49.1833,125.2167,18.76,40,100,5.15,CN,1683854234
282,fonte boa,-2.4959,-66.2662,22.05,99,93,0.36,BR,1683854234
283,san nicolas,18.1725,120.5953,31.95,55,20,2.06,PH,1683854234
284,tsiombe,-25.3,45.4833,21.7,78,46,1.17,MG,1683854235
285,sakaiminato,35.55,133.2333,19.96,55,75,4.12,JP,1683854235
286,hamina,60.5697,27.1979,11.6,68,7,3.24,FI,1683854235
287,puerto boyaca,5.9758,-74.5885,26.37,83,100,0.93,CO,1683854235
288,akureyri,65.6835,-18.0878,9.96,66,0,5.14,IS,1683854236
289,lozova,48.8894,36.3176,5.52,83,2,2.93,UA,1683854236
290,laguna,38.421,-121.4238,26.89,39,0,3.09,US,1683854236
291,east london,-33.0153,27.9116,18.5,83,99,5.58,ZA,1683854236
292,thunder bay,48.4001,-89.3168,15.22,83,74,0.9,CA,1683853953
293,ha giang,22.8333,104.9833,25.1,80,94,0.53,VN,1683854237
294,ebon,4.582,168.6964,27.54,78,100,2.6,MH,1683854237
295,peace river,56.2501,-117.286,21.17,42,75,3.6,CA,1683854243
296,kurmuk,10.55,34.2833,26.27,36,6,1.35,SD,1683854243
297,iskateley,67.6803,53.1512,0.36,97,100,3.55,RU,1683854243
298,island harbour,50.724,-1.2758,11.63,94,16,0.45,GB,1683854243
